transaction_amount,transaction_time,merchant_category,payment_method,device_type,location_mismatch,failed_login_attempts,unusual_spending_score,transaction_frequency,account_age_days,is_international,risk_flag
299.0142459033698,16,Retail,Credit Card,Mobile,0,0,10.054260765037737,5,3115,0,1
108.5207096486446,7,Entertainment,Credit Card,Mobile,0,0,14.802409115451898,3,1247,0,0
344.30656143020775,17,Retail,Credit Card,Mobile,0,0,96.32151207172075,0,1602,0,0
606.9089569224076,14,Retail,Credit Card,Mobile,0,0,84.50496995764269,1,714,0,1
79.7539875829992,14,Retail,Credit Card,Unknown,0,1,85.79404331724241,6,3557,0,0
79.75891291524583,4,Entertainment,Credit Card,Desktop,0,0,24.623715517947854,1,1956,0,0
623.7638446522175,1,Online,Debit Card,Mobile,0,0,55.823815672916986,4,2205,0,0
380.2304187458726,15,Online,Debit Card,Desktop,0,0,48.75712589657234,0,2008,0,0
9.157684219514367,4,Retail,Credit Card,Mobile,1,0,83.43061825562916,1,2729,0,1
312.7680130757894,22,Food,Debit Card,Mobile,0,0,42.174374274325146,7,1364,0,0
10.974692156261323,5,Retail,Credit Card,Mobile,0,0,53.789313173527795,6,2985,0,0
10.28107392892294,11,Travel,Credit Card,Mobile,0,0,58.10875892855443,5,1154,0,0
222.58868146981024,4,Online,Credit Card,Mobile,0,0,37.13511216083197,4,3059,0,0
423.9840733973394,19,Food,Debit Card,Desktop,0,0,3.3937351644116376,4,2966,0,0
367.4753497539098,7,Retail,Credit Card,Mobile,0,0,49.5235023424163,2,1515,0,0
18.686258772291808,10,Food,Debit Card,Desktop,0,0,49.32676654233729,1,1639,0,0
153.84933610032715,13,Retail,Debit Card,Mobile,0,1,4.084982591483611,3,829,0,0
244.27419977858216,23,Travel,Digital Wallet,Mobile,0,0,48.6283547085543,2,652,0,0
122.40722265636333,16,Food,Credit Card,Desktop,0,0,51.11433710296917,4,2036,0,0
273.6911104005875,9,Travel,Credit Card,Mobile,0,2,13.446336526618307,1,1551,0,0
589.6946306764662,1,Online,Credit Card,Desktop,0,0,14.399630580816947,7,2610,0,0
82.2671098540393,2,Food,Digital Wallet,Mobile,0,0,93.65289147504058,0,690,0,1
170.25846140637717,12,Online,Debit Card,Mobile,0,0,19.03826468288522,3,997,0,0
277.42445586403704,16,Online,Bank Transfer,Mobile,0,0,31.21206448086514,1,1838,0,0
13.314817357554798,2,Entertainment,Debit Card,Desktop,0,1,29.76725690843728,4,1371,0,0
183.27677691295983,9,Food,Debit Card,Mobile,0,0,65.75778961936865,3,3617,1,0
195.29807322669083,7,Retail,Credit Card,Mobile,0,0,64.19637455820528,4,3061,0,0
262.7094055037016,3,Entertainment,Bank Transfer,Desktop,1,1,91.27237615449947,0,2633,0,0
30.191606975641495,12,Travel,Bank Transfer,Tablet,0,1,40.278173444456186,2,1951,0,0
62.491875062016966,6,Retail,Credit Card,Mobile,0,0,78.00710301318354,3,470,0,0
30.511983668819077,6,Food,Credit Card,Desktop,0,0,37.74242757767742,4,1759,0,0
705.6834553526813,15,Online,Debit Card,Unknown,0,0,24.004470682794278,5,151,0,0
145.95083257861984,4,Other,Credit Card,Mobile,0,0,89.12772129403966,5,2053,0,0
167.31327868676996,16,Travel,Digital Wallet,Mobile,0,0,48.36619167114555,4,3290,0,0
396.7634736309567,9,Food,Credit Card,Mobile,1,0,39.0510947568804,5,845,0,1
216.25309499130668,3,Online,Credit Card,Desktop,0,0,90.56303031912883,2,2912,0,1
212.65907850142662,22,Travel,Debit Card,Mobile,0,0,93.94078344089472,6,341,0,0
437.9010371639327,13,Retail,Debit Card,Mobile,0,1,45.142860485240696,4,3315,1,0
248.45581466952916,4,Retail,Credit Card,Desktop,0,0,1.9678312534654019,5,105,0,0
209.05837076073706,1,Online,Digital Wallet,Desktop,0,0,3.246228107829585,2,911,0,0
371.5399739986231,13,Retail,Digital Wallet,Mobile,0,0,60.90334101224866,4,3346,0,0
201.41048435699116,23,Travel,Debit Card,Desktop,0,0,85.2020509424236,3,3290,0,0
115.30551528352784,17,Food,Debit Card,Unknown,0,0,87.52379794687155,3,2612,0,1
59.668891323213366,23,Online,Debit Card,Desktop,0,0,90.11479860397877,4,2519,0,0
293.5565971102282,10,Online,Credit Card,Desktop,0,1,80.75150816874206,5,3614,0,0
65.95326251841259,15,Food,Digital Wallet,Tablet,0,1,87.22496312617176,3,128,0,1
11.80836871206375,17,Online,Credit Card,Desktop,0,0,84.16436679201587,1,1710,0,1
467.1366678656747,15,Retail,Credit Card,Desktop,0,0,84.01862613743437,1,1484,0,1
253.08548687053843,20,Retail,Digital Wallet,Tablet,0,1,32.746812909404646,4,1606,0,0
378.91204660882016,3,Online,Credit Card,Desktop,0,0,39.3700369548008,4,1124,0,0
247.2251908184385,0,Food,Debit Card,Mobile,0,0,31.7053869911863,3,1,0,0
34.47531587510504,13,Retail,Credit Card,Mobile,0,0,15.457176431252616,2,1605,0,0
53.07660009178762,11,Food,Digital Wallet,Mobile,0,0,33.20617437667236,6,2039,1,0
333.5028866522604,23,Online,Debit Card,Mobile,0,0,90.7401831122821,2,2468,0,0
459.29985674878526,9,Online,Digital Wallet,Desktop,0,2,97.10805072470681,3,120,0,0
429.3840357348596,18,Online,Digital Wallet,Mobile,0,0,15.048156687681125,3,2172,0,0
101.76525696679157,3,Food,Credit Card,Desktop,1,0,66.20217027497787,2,1386,0,1
57.236287244635626,19,Online,Credit Card,Tablet,0,0,96.69567429121032,1,1585,0,0
249.3790294210692,20,Food,Debit Card,Mobile,0,0,20.66711443989987,4,1613,0,0
442.66353813670776,2,Entertainment,Bank Transfer,Mobile,0,0,84.00435474533397,1,275,0,0
6.247728646413014,3,Online,Credit Card,Desktop,0,0,29.648249040446483,1,3021,0,0
94.30230700085487,14,Food,Digital Wallet,Mobile,0,0,41.03341509511902,3,1538,0,0
181.90049220180845,10,Retail,Credit Card,Desktop,0,1,91.6251004035241,2,2029,0,0
208.86198722420124,15,Travel,Digital Wallet,Mobile,0,0,5.811059001383024,3,684,0,0
393.7577467182594,3,Entertainment,Debit Card,Desktop,0,0,44.85306556393819,5,1329,0,0
556.8720085712469,5,Retail,Debit Card,Mobile,0,0,50.57145923947197,4,352,0,0
128.39696352589985,7,Retail,Credit Card,Mobile,0,0,90.09440656604907,3,418,0,0
451.05986936760723,12,Retail,Credit Card,Mobile,0,0,57.37812925447932,2,2390,0,0
258.4908075142902,22,Retail,Credit Card,Desktop,0,0,94.50848146116037,4,1988,0,0
43.53592638153728,19,Online,Credit Card,Mobile,0,1,31.78787759633518,3,652,0,0
258.4186816525242,3,Retail,Credit Card,Mobile,0,1,49.365210763831215,3,2889,0,0
611.4109699397908,4,Retail,Debit Card,Mobile,1,0,2.2714040925445156,5,1628,0,0
139.25218826701453,9,Entertainment,Credit Card,Desktop,0,0,98.87836721305919,3,219,0,0
619.3930967442018,4,Online,Credit Card,Unknown,0,1,23.328379265885314,1,452,0,0
635.9235312269233,11,Retail,Digital Wallet,Mobile,0,0,92.88135729679182,3,2255,0,0
396.57075131256715,0,Retail,Debit Card,Desktop,0,1,40.02273844944892,2,1731,0,0
176.1141204714514,23,Online,Credit Card,Mobile,0,0,16.52026426805514,3,1936,0,0
60.29779486023965,9,Travel,Bank Transfer,Desktop,0,0,41.98696959532708,4,1873,0,0
177.52823296065068,4,Online,Digital Wallet,Mobile,0,0,32.40063847028305,5,303,0,0
446.27067438026785,18,Retail,Digital Wallet,Desktop,0,0,95.18106641417232,1,2132,0,0
84.09843364874642,18,Retail,Bank Transfer,Mobile,0,0,77.11546654886858,3,3019,0,0
257.13377145352393,19,Retail,Debit Card,Desktop,0,0,20.743497837520465,2,2413,0,0
593.3682134224548,11,Retail,Credit Card,Mobile,0,0,54.01103251740952,3,18,0,0
5.481065482094216,22,Online,Debit Card,Tablet,0,0,66.99314094802546,2,3271,0,0
92.54808086795629,15,Other,Debit Card,Mobile,1,0,57.933133075785925,8,2431,0,0
1.0,4,Other,Credit Card,Mobile,0,0,91.66986802758336,2,3277,0,0
424.6206353106222,16,Online,Credit Card,Mobile,0,0,11.298436270423618,2,168,0,0
248.62533289790534,13,Online,Credit Card,Desktop,1,0,4.043731151553254,3,834,0,0
8.928061130111642,11,Entertainment,Debit Card,Mobile,0,0,61.19326395590353,3,2811,0,0
303.98022993400684,12,Online,Credit Card,Mobile,1,0,74.53180602473142,3,66,1,0
179.12326480441212,20,Retail,Debit Card,Desktop,1,0,80.94692384815178,2,3177,0,1
440.5934971598668,13,Travel,Digital Wallet,Mobile,0,0,21.112790356031162,2,3511,1,0
60.61592816320571,4,Entertainment,Credit Card,Mobile,0,0,19.01206297604826,2,795,0,0
51.701356020669536,21,Online,Digital Wallet,Mobile,0,0,83.85754081253742,3,981,0,0
32.36755406035271,22,Entertainment,Credit Card,Desktop,1,0,33.75335199990005,2,3622,0,1
289.0544844396356,4,Online,Credit Card,Desktop,0,0,65.9668270842868,5,1118,0,0
238.83608311937283,17,Food,Credit Card,Desktop,0,0,15.08112006831488,5,1995,0,0
228.3165816539668,13,Online,Credit Card,Desktop,0,0,80.09951697607944,4,2131,0,1
151.53403699273827,17,Other,Credit Card,Desktop,0,0,96.08831353327986,0,522,0,0
79.62385998745577,19,Retail,Bank Transfer,Desktop,0,0,97.16496716084785,4,3276,0,1
274.6112226151243,0,Online,Debit Card,Mobile,0,0,51.90123676427187,4,2064,0,0
23.806403170392286,6,Food,Digital Wallet,Desktop,0,1,23.92959849595102,3,3461,0,0
47.18564504196915,16,Entertainment,Debit Card,Unknown,0,2,14.10089647459114,1,2501,0,0
90.68318076648568,2,Online,Credit Card,Mobile,0,0,24.573364049212987,6,46,0,0
101.61428650019727,9,Food,Credit Card,Desktop,1,1,62.163297721095226,4,2496,0,0
271.2152570443615,6,Food,Debit Card,Desktop,0,2,43.58773982819366,2,2144,0,0
715.8557703631591,11,Food,Debit Card,Desktop,0,0,47.740426316695576,4,643,0,0
202.37334384955167,21,Retail,Credit Card,Tablet,0,0,47.42864291833432,2,3228,0,0
227.2651172168292,14,Food,Digital Wallet,Mobile,0,0,79.34462574401573,1,1613,0,0
127.66622527014987,22,Retail,Debit Card,Mobile,0,1,83.13477078533298,5,3360,0,0
425.63136458971246,20,Online,Bank Transfer,Mobile,0,0,1.39526011996004,6,1141,0,0
142.04583736523495,15,Retail,Debit Card,Tablet,0,1,91.82212590315683,1,312,0,0
168.06906298230794,7,Food,Credit Card,Mobile,0,0,38.8426534810481,4,970,0,0
888.9726337455859,5,Online,Debit Card,Unknown,0,0,24.0816426425162,3,78,0,0
92.29171056566324,3,Online,Credit Card,Mobile,0,0,99.60165849318324,1,701,0,0
240.46420270008375,10,Online,Debit Card,Mobile,0,0,12.252771017752329,3,3089,0,0
139.586469088427,16,Food,Credit Card,Mobile,0,0,32.10498441508034,3,376,0,0
200.6034112858596,1,Retail,Credit Card,Desktop,0,0,90.71006576098416,1,449,0,1
492.8468443545062,5,Travel,Credit Card,Mobile,0,0,47.563184935762195,3,675,0,0
375.5799098060322,3,Retail,Credit Card,Mobile,0,0,92.5807838626923,4,513,0,1
387.3095841129141,2,Online,Credit Card,Mobile,0,1,24.151405699168972,5,324,1,0
122.81623643842168,6,Travel,Bank Transfer,Unknown,0,1,40.74181382658574,7,636,0,0
570.8382932808297,6,Entertainment,Credit Card,Unknown,0,0,5.16527342029367,3,2540,0,0
270.55531883768424,15,Travel,Credit Card,Mobile,0,0,45.42684123843384,1,2148,0,0
326.0571281400811,1,Food,Debit Card,Desktop,1,0,0.04959456261302009,3,1512,0,0
807.1366877429936,7,Food,Debit Card,Desktop,0,1,31.688112961573246,5,2205,0,0
147.1608975392065,14,Online,Credit Card,Desktop,1,0,71.51134452568955,5,47,0,0
19.889318880831574,15,Retail,Debit Card,Mobile,1,0,72.41477419571312,3,2708,0,0
179.89540952629235,0,Travel,Credit Card,Mobile,0,0,42.778713171414,2,3420,0,0
1.0426962348597635,9,Retail,Digital Wallet,Desktop,0,0,1.29591057435543,3,1203,0,0
315.1990293198398,6,Retail,Debit Card,Mobile,0,0,13.099890496020429,2,2530,0,0
170.5688924418082,15,Entertainment,Credit Card,Mobile,0,0,24.20692132080784,4,1501,0,0
168.69111411783146,9,Retail,Credit Card,Mobile,0,0,1.6456312062307799,1,497,0,0
292.07772919055446,11,Retail,Debit Card,Desktop,0,0,21.702002712183944,4,305,0,0
125.82727027014101,16,Online,Credit Card,Desktop,0,0,52.36017377594817,6,1676,0,0
614.9803215052619,12,Food,Digital Wallet,Mobile,0,0,12.572188442141119,3,720,0,0
84.97598770087113,11,Retail,Credit Card,Desktop,0,0,86.62846422334887,2,1245,0,0
53.38154513829733,14,Retail,Credit Card,Mobile,0,1,5.998067013985953,5,783,0,0
394.05516521090095,13,Retail,Credit Card,Desktop,0,0,77.58660918645856,1,2955,0,0
219.25929493018657,18,Food,Debit Card,Mobile,0,1,44.62917726806278,4,2699,0,0
218.23798038123883,18,Entertainment,Credit Card,Mobile,1,0,61.284734658580305,2,2327,0,1
